"Town","FIPS","Year","Gender","Engagement","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","Total","Total","Number","Disengaged Youth",124
"Andover","0901301080","2006-2010","Total","Total","Number","Margins of Error",51
"Andover","0901301080","2006-2010","Total","Engaged","Number","Disengaged Youth",114
"Andover","0901301080","2006-2010","Total","Engaged","Number","Margins of Error",250.39
"Andover","0901301080","2006-2010","Total","Engaged","Percent","Disengaged Youth",91.94
"Andover","0901301080","2006-2010","Total","Engaged","Percent","Margins of Error",2.05
"Andover","0901301080","2006-2010","Total","Disengaged","Number","Disengaged Youth",10
"Andover","0901301080","2006-2010","Total","Disengaged","Number","Margins of Error",325.92
"Andover","0901301080","2006-2010","Total","Disengaged","Percent","Disengaged Youth",8.06
"Andover","0901301080","2006-2010","Total","Disengaged","Percent","Margins of Error",2.63
"Andover","0901301080","2006-2010","Female","Total","Number","Disengaged Youth",63
"Andover","0901301080","2006-2010","Female","Total","Number","Margins of Error",33
"Andover","0901301080","2006-2010","Female","Engaged","Number","Disengaged Youth",63
"Andover","0901301080","2006-2010","Female","Engaged","Number","Margins of Error",177.05
"Andover","0901301080","2006-2010","Female","Engaged","Percent","Disengaged Youth",100
"Andover","0901301080","2006-2010","Female","Engaged","Percent","Margins of Error",2.86
"Andover","0901301080","2006-2010","Female","Disengaged","Number","Disengaged Youth",0
"Andover","0901301080","2006-2010","Female","Disengaged","Number","Margins of Error",246
"Andover","0901301080","2006-2010","Female","Disengaged","Percent","Disengaged Youth",0
"Andover","0901301080","2006-2010","Female","Disengaged","Percent","Margins of Error",3.9
"Andover","0901301080","2006-2010","Male","Total","Number","Disengaged Youth",61
"Andover","0901301080","2006-2010","Male","Total","Number","Margins of Error",39
"Andover","0901301080","2006-2010","Male","Engaged","Number","Disengaged Youth",51
"Andover","0901301080","2006-2010","Male","Engaged","Number","Margins of Error",177.05
"Andover","0901301080","2006-2010","Male","Engaged","Percent","Disengaged Youth",83.61
"Andover","0901301080","2006-2010","Male","Engaged","Percent","Margins of Error",2.95
"Andover","0901301080","2006-2010","Male","Disengaged","Number","Disengaged Youth",10
"Andover","0901301080","2006-2010","Male","Disengaged","Number","Margins of Error",213.8
"Andover","0901301080","2006-2010","Male","Disengaged","Percent","Disengaged Youth",16.39
"Andover","0901301080","2006-2010","Male","Disengaged","Percent","Margins of Error",3.51
"Andover","0901301080","2007-2011","Total","Total","Number","Disengaged Youth",142
"Andover","0901301080","2007-2011","Total","Total","Number","Margins of Error",54
"Andover","0901301080","2007-2011","Total","Engaged","Number","Disengaged Youth",142
"Andover","0901301080","2007-2011","Total","Engaged","Number","Margins of Error",167.61
"Andover","0901301080","2007-2011","Total","Engaged","Percent","Disengaged Youth",100
"Andover","0901301080","2007-2011","Total","Engaged","Percent","Margins of Error",1.24
